FCFS 
Tempo Processos_Fila_Pronto Processos_Fila_Bloqueado Processos_Finalizados 
63200 9 0 36 
63400 9 0 36 
63600 9 0 37 
63800 9 0 37 
64000 9 0 38 
64200 9 0 39 
64400 9 0 39 
64600 9 0 39 
64800 9 0 39 
65000 8 1 39 
65200 9 0 39 
65400 9 0 39 
65600 9 0 39 
65800 9 0 39 
66000 9 0 41 
66200 9 0 41 
66400 9 0 41 
66600 9 0 41 
66800 9 0 41 
67000 9 0 41 
67200 9 0 41 
67400 9 0 41 
67600 9 0 41 
67800 9 0 42 
68000 8 1 42 
68200 9 0 42 
68400 9 0 42 
68600 9 0 42 
68800 9 0 43 
69000 9 0 43 
69200 9 0 43 
69400 9 0 43 
69600 9 0 43 
69800 9 0 44 
70000 9 0 44 
70200 9 0 44 
70400 9 0 44 
70600 9 0 44 
70800 9 0 45 
71000 9 0 45 
71200 9 0 45 
71400 9 0 45 
71600 9 0 45 
71800 9 0 45 
72000 9 0 45 
72200 9 0 45 
72400 9 0 45 
72600 9 0 45 
72800 9 0 45 
73000 9 0 46 
73200 9 0 46 
73400 9 0 46 
73600 9 0 46 
73800 9 0 46 
74000 8 1 46 
74200 9 0 46 
74400 9 0 46 
74600 9 0 46 
74800 9 0 47 
75000 9 0 47 
75200 9 0 47 
75400 9 0 48 
75600 9 0 48 
75800 9 0 49 
76000 9 0 50 
76200 9 0 50 
76400 7 2 50 
76600 9 0 50 
76800 9 0 50 
77000 9 0 50 
77200 9 0 50 
77400 9 0 50 
77600 9 0 50 
77800 9 0 50 
78000 9 0 50 
78200 8 1 50 
78400 9 0 50 
78600 9 0 50 
78800 8 1 50 
79000 9 0 50 
79200 9 0 50 
79400 9 0 50 
79600 9 0 50 
79800 9 0 50 
80000 9 0 50 
80200 8 1 50 
80400 9 0 51 
80600 9 0 51 
80800 9 0 51 
81000 9 0 51 
81200 9 0 52 
81400 8 1 52 
81600 9 0 52 
81800 9 0 52 
82000 9 0 53 
82200 9 0 53 
82400 9 0 53 
82600 8 1 53 
82800 9 0 53 
83000 8 1 53 
83200 9 0 53 
83400 9 0 53 
83600 9 0 53 
83800 9 0 53 
84000 9 0 53 
84200 9 0 53 
84400 9 0 53 
84600 9 0 53 
84800 9 0 53 
85000 9 0 53 
85200 9 0 53 
85400 9 0 54 
85600 9 0 54 
85800 9 0 54 
86000 9 0 55 
86200 9 0 55 
86400 9 0 55 
86600 9 0 55 
86800 9 0 55 
87000 8 1 55 
87200 9 0 55 
87400 9 0 55 
87600 9 0 56 
87800 9 0 56 
88000 9 0 56 
88200 9 0 56 
88400 9 0 56 
88600 9 0 56 
88800 9 0 56 
89000 9 0 57 
89200 9 0 57 
89400 9 0 57 
89600 9 0 57 
89800 9 0 57 
90000 9 0 57 
90200 9 0 57 
90400 9 0 57 
90600 9 0 58 
90800 9 0 58 
91000 9 0 58 
91200 9 0 58 
91400 9 0 58 
91600 9 0 58 
91800 9 0 58 
92000 9 0 59 
92200 9 0 59 
92400 9 0 59 
