SJF 
Tempo Processos_Fila_Pronto Processos_Fila_Bloqueado Processos_Finalizados 
63200 9 0 39 
63400 9 0 39 
63600 9 0 40 
63800 9 0 40 
64000 9 0 40 
64200 8 1 40 
64400 9 0 40 
64600 9 0 40 
64800 9 0 40 
65000 9 0 40 
65200 9 0 41 
65400 9 0 41 
65600 8 1 41 
65800 9 0 41 
66000 9 0 41 
66200 9 0 42 
66400 9 0 42 
66600 9 0 42 
66800 9 0 42 
67000 9 0 42 
67200 9 0 42 
67400 9 0 42 
67600 9 1 42 
67800 9 0 42 
68000 9 0 42 
68200 9 0 42 
68400 9 0 42 
68600 9 0 42 
68800 9 0 42 
69000 9 0 42 
69200 9 0 42 
69400 9 0 42 
69600 9 0 42 
69800 9 0 43 
70000 9 0 44 
70200 9 0 44 
70400 9 0 45 
70600 9 0 45 
70800 9 0 45 
71000 9 0 45 
71200 9 0 45 
71400 9 0 46 
71600 9 0 46 
71800 9 0 46 
72000 8 1 47 
72200 9 0 47 
72400 9 0 47 
72600 9 0 47 
72800 9 0 47 
73000 9 0 47 
73200 9 0 47 
73400 9 0 47 
73600 9 0 47 
73800 9 0 47 
74000 9 0 47 
74200 9 0 47 
74400 9 0 47 
74600 9 0 47 
74800 9 0 48 
75000 9 0 48 
75200 9 0 48 
75400 8 1 48 
75600 9 0 48 
75800 9 0 48 
76000 9 0 49 
76200 9 0 49 
76400 9 0 49 
76600 9 0 49 
76800 8 1 49 
77000 9 0 49 
77200 9 0 49 
77400 9 0 49 
77600 9 0 49 
77800 9 0 49 
78000 9 0 49 
78200 9 0 49 
78400 9 0 49 
78600 9 0 49 
78800 9 0 49 
79000 9 0 49 
79200 9 0 49 
79400 9 0 49 
79600 9 0 49 
79800 9 0 49 
80000 9 0 49 
80200 9 0 49 
80400 8 1 49 
80600 9 0 50 
80800 9 0 51 
81000 9 0 52 
81200 9 0 52 
81400 9 0 52 
81600 9 0 53 
81800 9 0 53 
82000 9 0 53 
82200 8 1 53 
82400 9 0 53 
82600 9 0 54 
82800 9 0 54 
83000 9 0 54 
83200 9 0 54 
83400 9 0 54 
83600 9 0 54 
83800 9 0 54 
84000 9 0 55 
84200 9 0 55 
84400 9 0 55 
84600 9 0 55 
84800 9 0 55 
85000 9 0 55 
85200 9 0 55 
85400 9 0 55 
85600 9 0 56 
85800 9 0 56 
86000 9 0 56 
86200 9 0 56 
86400 9 0 56 
86600 9 0 56 
86800 9 0 56 
87000 9 0 56 
87200 9 0 56 
87400 9 0 56 
87600 9 0 56 
87800 9 0 56 
88000 9 0 56 
88200 9 0 56 
88400 9 0 56 
88600 8 1 56 
88800 9 0 56 
89000 9 0 56 
89200 9 0 56 
89400 9 0 56 
89600 9 0 57 
89800 9 0 57 
90000 9 0 57 
90200 9 0 57 
90400 9 0 57 
90600 9 0 58 
90800 9 0 58 
91000 9 0 58 
91200 9 0 58 
91400 9 0 58 
91600 9 0 58 
91800 9 0 59 
92000 9 0 59 
92200 9 0 59 
92400 9 0 59 
92600 9 0 59 
92800 9 0 59 
93000 9 0 59 
93200 9 0 59 
93400 9 0 59 
93600 9 0 59 
93800 9 0 59 
94000 9 0 59 
94200 9 0 59 
94400 9 0 59 
94600 9 0 59 
94800 9 0 60 
95000 9 0 61 
95200 9 0 61 
95400 9 0 62 
95600 9 0 62 
95800 9 0 62 
96000 9 0 62 
96200 9 0 62 
96400 9 0 63 
96600 9 0 63 
96800 9 0 63 
97000 9 0 63 
97200 9 0 63 
97400 8 1 63 
97600 9 0 63 
97800 9 0 63 
98000 9 0 63 
98200 9 0 63 
98400 9 0 63 
98600 9 1 63 
98800 9 0 63 
99000 9 0 63 
99200 9 0 63 
99400 9 0 63 
99600 9 0 63 
99800 9 0 64 
100000 9 0 64 
100200 9 0 64 
100400 9 0 64 
100600 9 0 64 
100800 9 0 64 
101000 9 0 64 
101200 9 0 64 
101400 9 0 65 
101600 8 1 65 
101800 9 0 65 
102000 9 0 65 
102200 9 0 65 
102400 9 0 65 
102600 9 0 65 
102800 9 0 65 
103000 9 0 66 
103200 9 0 66 
103400 9 0 66 
103600 9 0 67 
103800 8 1 67 
104000 9 0 67 
104200 9 0 67 
104400 9 0 67 
104600 9 0 67 
104800 9 0 67 
105000 9 0 67 
105200 9 0 67 
105400 9 0 67 
105600 9 0 67 
105800 8 1 67 
106000 9 0 67 
106200 9 0 67 
106400 9 0 67 
106600 9 0 67 
106800 9 0 67 
107000 9 0 68 
107200 9 0 68 
107400 9 0 68 
107600 9 0 68 
107800 9 0 68 
108000 9 0 68 
108200 9 0 68 
108400 9 0 68 
108600 9 0 69 
108800 9 0 69 
109000 9 0 69 
109200 9 0 69 
109400 9 0 69 
109600 9 0 69 
109800 9 0 69 
110000 9 0 69 
110200 9 0 69 
110400 9 0 69 
110600 9 0 69 
110800 9 0 69 
111000 9 0 69 
111200 9 0 69 
111400 9 0 69 
111600 9 0 69 
111800 9 0 69 
112000 9 0 69 
112200 9 0 69 
112400 9 0 70 
112600 9 0 70 
112800 9 0 70 
113000 9 0 70 
113200 9 0 70 
113400 9 0 70 
113600 9 0 70 
113800 9 0 71 
114000 9 0 71 
114200 9 0 71 
114400 9 0 71 
114600 9 0 71 
114800 9 0 71 
115000 9 0 71 
115200 9 0 71 
115400 9 0 71 
115600 9 0 71 
115800 9 0 71 
116000 9 0 71 
116200 9 0 72 
116400 9 0 72 
116600 9 0 72 
116800 9 0 72 
117000 9 0 72 
117200 9 0 72 
117400 9 0 72 
117600 9 0 72 
117800 9 0 72 
118000 9 0 73 
118200 9 0 74 
118400 9 0 74 
118600 9 0 74 
118800 9 0 75 
119000 9 0 75 
119200 9 0 75 
119400 9 0 75 
119600 9 0 75 
119800 9 0 75 
120000 9 0 75 
120200 9 0 75 
120400 9 0 75 
120600 9 0 75 
120800 9 0 75 
121000 9 0 75 
121200 9 0 75 
121400 9 0 75 
121600 9 0 75 
121800 9 0 75 
122000 9 0 75 
122200 9 0 75 
122400 9 0 75 
122600 9 0 75 
122800 9 0 75 
123000 9 0 75 
123200 9 0 75 
123400 8 1 76 
123600 9 0 76 
123800 9 0 76 
124000 9 0 76 
124200 8 1 76 
124400 9 0 76 
124600 9 0 77 
124800 9 0 77 
125000 9 0 77 
125200 8 1 77 
125400 9 0 78 
125600 9 0 78 
125800 9 0 78 
126000 9 0 78 
126200 9 0 78 
126400 9 0 78 
126600 9 0 78 
126800 9 0 78 
127000 9 0 78 
127200 9 0 78 
127400 9 0 78 
127600 9 0 79 
127800 8 1 79 
128000 9 0 79 
128200 9 0 80 
128400 9 0 80 
128600 9 0 80 
128800 9 0 80 
129000 9 0 80 
129200 9 0 80 
129400 9 0 80 
129600 9 0 80 
129800 9 0 82 
130000 9 0 82 
130200 9 0 82 
130400 9 0 82 
130600 9 0 82 
130800 9 0 82 
131000 9 0 82 
131200 9 0 82 
131400 8 1 82 
131600 8 1 82 
131800 9 0 82 
132000 9 0 83 
132200 8 1 83 
132400 9 0 83 
132600 9 0 84 
132800 8 1 84 
133000 9 0 84 
133200 9 0 84 
133400 9 0 84 
133600 9 0 84 
133800 9 0 84 
134000 9 0 84 
134200 9 0 84 
134400 9 0 84 
134600 9 0 84 
134800 9 0 84 
135000 9 0 84 
135200 9 0 85 
135400 9 0 85 
135600 9 0 86 
135800 9 0 86 
136000 9 0 86 
136200 9 0 87 
136400 9 0 87 
136600 9 0 87 
136800 9 0 87 
137000 9 0 87 
137200 9 0 87 
137400 9 0 87 
137600 9 0 87 
137800 9 0 87 
138000 9 0 87 
138200 9 0 87 
138400 9 0 87 
138600 9 0 87 
138800 9 0 87 
139000 9 0 87 
139200 9 0 87 
139400 9 0 87 
139600 9 0 88 
139800 9 0 88 
140000 8 1 88 
140200 9 0 88 
140400 9 0 88 
140600 9 0 88 
140800 9 0 88 
141000 9 0 90 
141200 9 0 90 
141400 9 0 90 
141600 9 0 90 
141800 9 0 90 
142000 9 0 90 
142200 9 0 90 
142400 9 0 90 
142600 9 0 90 
142800 9 0 90 
143000 9 0 90 
143200 9 0 90 
143400 9 0 91 
143600 9 0 91 
143800 9 0 91 
144000 9 0 91 
144200 9 0 91 
144400 9 0 91 
144600 8 1 91 
144800 9 0 91 
145000 9 0 91 
145200 9 0 91 
145400 9 0 91 
145600 9 0 91 
145800 9 0 91 
146000 8 1 91 
146200 9 0 91 
146400 9 0 91 
146600 9 0 91 
146800 9 0 91 
147000 9 0 91 
147200 9 0 92 
147400 9 0 92 
147600 9 0 92 
147800 9 0 92 
148000 9 0 92 
148200 9 0 92 
148400 9 0 92 
148600 9 0 92 
148800 8 1 92 
149000 9 0 93 
149200 9 0 93 
149400 9 0 93 
149600 8 1 93 
149800 9 0 94 
150000 9 0 94 
150200 9 0 94 
150400 9 0 94 
150600 9 0 95 
150800 9 0 95 
151000 9 0 95 
151200 9 0 95 
151400 9 0 95 
151600 9 0 95 
151800 9 0 95 
152000 8 1 96 
152200 9 0 96 
152400 9 0 96 
152600 9 0 96 
152800 9 0 96 
153000 8 1 96 
153200 9 0 96 
153400 9 0 96 
153600 9 0 96 
153800 9 0 97 
154000 8 1 97 
154200 9 0 97 
154400 9 0 97 
154600 9 0 97 
154800 9 0 98 
155000 9 0 98 
155200 9 0 98 
155400 8 1 99 
155600 8 1 99 
155800 9 0 99 
156000 9 0 99 
156200 9 0 99 
156400 9 0 99 
156600 9 0 99 
156800 9 0 99 
157000 9 0 99 
157200 9 0 99 
157400 9 0 99 
157600 9 0 100 
157800 8 1 100 
158000 9 0 101 
158200 9 0 101 
158400 9 0 101 
158600 9 0 101 
158800 9 0 101 
159000 9 0 101 
159200 9 0 101 
159400 9 0 101 
159600 9 0 101 
159800 9 0 101 
160000 9 0 101 
160200 9 0 101 
160400 9 0 101 
160600 9 0 101 
160800 9 0 101 
161000 9 0 101 
161200 9 0 102 
161400 9 0 102 
161600 9 0 102 
161800 9 0 102 
162000 9 0 103 
162200 9 0 103 
162400 9 0 103 
162600 9 0 103 
162800 9 0 103 
163000 9 0 103 
163200 9 0 103 
163400 9 0 103 
163600 9 0 103 
163800 9 0 103 
164000 9 0 103 
164200 9 0 103 
164400 9 0 103 
164600 9 0 103 
164800 9 0 103 
165000 9 0 103 
165200 9 0 103 
165400 9 0 103 
165600 9 0 104 
165800 9 0 104 
166000 9 0 104 
166200 9 0 105 
166400 9 0 105 
166600 9 0 105 
166800 9 0 105 
167000 9 0 106 
167200 9 0 106 
167400 8 1 106 
167600 9 0 106 
167800 9 0 106 
168000 9 0 107 
168200 9 0 107 
168400 9 0 107 
168600 9 0 107 
168800 9 0 107 
169000 9 0 107 
169200 8 1 107 
169400 9 0 107 
169600 9 0 107 
169800 9 0 107 
170000 9 0 107 
170200 9 0 107 
170400 9 0 108 
170600 9 0 108 
170800 9 0 108 
171000 9 0 108 
171200 9 0 108 
171400 9 0 109 
171600 9 0 109 
171800 9 0 109 
172000 9 0 109 
172200 9 0 109 
172400 9 0 110 
172600 9 0 110 
172800 9 0 110 
173000 9 0 110 
173200 9 0 110 
173400 9 0 110 
173600 9 0 110 
173800 9 0 110 
174000 9 0 111 
174200 8 1 111 
174400 9 0 111 
174600 9 0 111 
174800 9 0 111 
175000 9 0 111 
175200 9 0 112 
175400 9 0 112 
175600 9 0 112 
175800 9 0 112 
176000 9 0 112 
176200 9 0 112 
176400 9 0 112 
176600 9 0 112 
176800 9 0 112 
177000 9 0 112 
177200 9 0 113 
177400 9 0 113 
177600 9 0 113 
177800 9 0 113 
178000 9 0 113 
178200 9 0 114 
178400 9 0 114 
178600 9 1 114 
178800 9 0 114 
179000 9 0 114 
179200 9 0 114 
179400 9 0 115 
179600 9 0 116 
179800 9 0 116 
180000 9 0 116 
180200 9 0 116 
180400 9 0 116 
180600 9 0 116 
180800 9 0 116 
181000 9 0 116 
181200 9 0 116 
181400 8 1 116 
181600 9 0 116 
181800 9 0 117 
182000 9 0 117 
182200 9 0 117 
182400 9 0 118 
182600 9 0 118 
182800 9 0 119 
183000 9 0 119 
183200 9 0 119 
183400 9 0 119 
183600 9 0 119 
183800 9 0 119 
184000 9 0 121 
184200 9 0 121 
184400 9 0 121 
184600 9 0 121 
184800 9 0 121 
185000 9 0 121 
185200 9 0 121 
185400 9 0 121 
185600 9 0 121 
185800 9 0 121 
186000 9 0 121 
186200 9 0 121 
186400 9 0 121 
186600 9 0 121 
186800 8 1 123 
187000 9 0 123 
187200 9 0 123 
187400 9 0 123 
187600 9 0 123 
187800 9 0 123 
188000 9 0 123 
188200 9 0 123 
188400 9 1 123 
188600 9 0 123 
188800 9 0 123 
189000 9 0 123 
189200 9 0 123 
189400 8 1 123 
