SJF 
ID Tempo_de_Chegada Tempo_de_finalizacao Tempo_de_Processamento Tempo_de_Espera Tempo_de_Turnaround 
187 8324 285755 1800 8178 9986 
12 0 286932 3104 274710 277814 
193 8756 288371 1121 1495 2616 
194 8826 290224 1564 1728 3292 
195 8906 290877 1507 999 2506 
196 8921 293994 1653 2116 3770 
197 8923 295175 2675 1623 4298 
198 9015 296080 916 1170 2086 
200 9106 296234 154 0 154 
192 8658 299346 2631 13113 15747 
202 9173 300402 564 492 1056 
201 9148 302312 1886 4192 6078 
203 9211 302581 1301 878 2179 
204 9229 304450 1184 954 2138 
205 9276 305400 1482 1337 2819 
207 9381 305522 122 0 122 
137 5896 306945 748 108650 109398 
209 9507 309427 1520 962 2482 
206 9324 309834 2440 2944 5384 
150 6489 310856 1003 91944 92947 
212 9651 311128 138 134 272 
213 9711 311997 434 435 869 
211 9557 314144 1098 3210 4310 
210 9554 316207 2057 4723 6780 
214 9805 319031 3314 3713 7034 
215 9870 321383 3464 3775 7239 
216 9875 322703 1385 5095 6496 
219 9976 324989 818 1459 2286 
217 9944 327584 3148 5404 8553 
220 10009 328526 1982 1555 3537 
222 10100 330315 857 932 1789 
170 7419 333079 820 84423 85243 
224 10142 334831 1002 750 1752 
223 10104 335200 2544 2339 4885 
226 10258 337836 1126 1510 2636 
225 10166 340953 2913 3201 6122 
227 10275 341105 1847 1422 3269 
228 10279 341319 191 175 366 
230 10421 343242 1031 892 1923 
229 10352 345868 2144 2619 4763 
191 8565 346568 2664 61110 63774 
231 10489 346641 1959 1433 3399 
234 10597 348819 1065 1113 2178 
233 10538 349728 1715 1438 3160 
236 10732 354449 1671 3041 4721 
232 10503 357126 2910 8344 11258 
235 10654 357269 3456 4987 8450 
238 10759 357396 198 72 270 
240 10932 358810 626 788 1414 
237 10755 362744 2853 5442 8295 
241 10994 363569 2213 2545 4759 
243 11112 365651 611 1471 2082 
244 11147 367031 659 721 1380 
242 11018 367924 2700 2477 5180 
239 10837 370080 3113 9686 12811 
245 11203 371626 2341 2246 4595 
248 11308 376499 2398 2464 4873 
247 11292 376500 2731 3689 6420 
246 11249 377599 1533 8142 9675 
