RR 
ID Tempo_de_Chegada Tempo_de_finalizacao Tempo_de_Processamento Tempo_de_Espera Tempo_de_Turnaround 
177 7837 279778 2187 18459 20656 
175 7726 281104 2690 22608 25307 
185 8172 282639 735 6065 6804 
180 7965 287249 2342 19535 21883 
190 8491 287962 738 6110 6858 
189 8396 290237 1144 9308 10459 
176 7790 290490 3599 29661 33266 
179 7963 294175 3351 27511 30862 
186 8269 294211 1926 16125 18061 
188 8375 294764 1685 13947 15639 
187 8324 295054 1800 14919 16726 
193 8756 298377 1121 9294 10415 
200 9106 299754 154 1223 1377 
181 8023 302135 3477 28326 31803 
198 9015 303202 916 7522 8438 
195 8906 304526 1507 12513 14036 
194 8826 304774 1564 12973 14537 
191 8565 307114 2664 21811 24475 
202 9173 307390 564 4691 5255 
207 9381 308629 122 1117 1239 
196 8921 310193 1653 14356 16018 
192 8658 312043 2631 22153 24794 
203 9211 315370 1301 10867 12168 
204 9229 315777 1184 10063 11251 
212 9651 317200 138 1285 1423 
201 9148 317389 1886 15749 17635 
205 9276 318836 1482 12580 14062 
199 9040 318998 2580 21355 23944 
197 8923 319062 2675 22173 24851 
213 9711 321249 434 3609 4049 
209 9507 324190 1520 12477 13997 
211 9557 325525 1098 9057 10155 
206 9324 329907 2440 20348 22793 
210 9554 331173 2057 17072 19130 
216 9875 331918 1385 11535 12920 
219 9976 332044 818 7027 7854 
208 9470 334938 2783 23526 26309 
222 10100 339233 857 7203 8060 
224 10142 341464 1002 8418 9420 
220 10009 344001 1982 16484 18476 
228 10279 345792 191 1600 1791 
214 9805 347962 3314 27239 30573 
217 9944 348280 3148 26052 29218 
218 9966 348432 2927 24254 27183 
221 10046 349010 2028 17069 19103 
226 10258 349804 1126 9445 10571 
215 9870 351037 3464 28718 32201 
223 10104 355690 2544 21222 23772 
230 10421 357434 1031 8440 9472 
227 10275 358678 1847 15334 17214 
234 10597 359677 1065 8798 9873 
238 10759 360568 198 1692 1890 
225 10166 362342 2913 24479 27404 
233 10538 364952 1715 14227 15942 
229 10352 365776 2144 17818 19984 
231 10489 366368 1959 16120 18088 
240 10932 366434 626 5235 5866 
236 10732 371234 1671 13873 15544 
243 11112 371435 611 5048 5659 
244 11147 372514 659 5486 6146 
232 10503 375399 2910 24040 26967 
