RR 
Tempo Processos_Fila_Pronto Processos_Fila_Bloqueado Processos_Finalizados 
63200 9 0 37 
63400 9 0 37 
63600 9 0 37 
63800 9 0 37 
64000 10 0 37 
64200 9 0 37 
64400 9 0 37 
64600 9 0 37 
64800 9 0 37 
65000 9 0 40 
65200 9 0 40 
65400 9 0 40 
65600 9 0 40 
65800 10 0 40 
66000 9 0 40 
66200 9 0 40 
66400 9 0 40 
66600 9 0 40 
66800 9 0 40 
67000 9 0 40 
67200 9 0 40 
67400 9 0 40 
67600 9 0 40 
67800 9 0 40 
68000 9 0 41 
68200 9 0 41 
68400 9 0 41 
68600 9 0 41 
68800 9 0 41 
69000 9 0 43 
69200 9 0 43 
69400 9 0 45 
69600 9 0 45 
69800 9 0 45 
70000 9 0 45 
70200 9 0 45 
70400 9 0 45 
70600 9 0 45 
70800 9 0 45 
71000 9 0 45 
71200 8 1 45 
71400 9 0 45 
71600 9 0 46 
71800 8 1 46 
72000 9 0 46 
72200 9 0 46 
72400 9 0 46 
72600 9 0 46 
72800 9 0 46 
73000 9 0 46 
73200 9 0 47 
73400 9 0 48 
73600 9 0 48 
73800 9 0 48 
74000 9 0 48 
74200 9 0 48 
74400 10 0 48 
74600 9 0 49 
74800 9 0 49 
75000 9 0 49 
75200 9 0 49 
75400 9 0 49 
75600 9 0 49 
75800 9 0 49 
76000 9 0 49 
76200 9 0 49 
76400 9 0 49 
76600 9 0 49 
76800 9 0 49 
77000 9 0 49 
77200 9 0 49 
77400 9 0 49 
77600 9 0 49 
77800 9 0 49 
78000 9 0 49 
78200 9 0 49 
78400 9 0 49 
78600 9 0 49 
78800 9 0 49 
79000 9 0 49 
79200 9 0 49 
79400 9 0 49 
79600 9 0 49 
79800 9 0 49 
80000 9 0 49 
80200 9 0 49 
80400 9 0 49 
80600 9 0 49 
80800 9 0 49 
81000 10 0 49 
81200 10 0 49 
81400 9 0 49 
81600 10 0 49 
81800 9 0 50 
82000 9 0 50 
82200 9 0 50 
82400 9 0 50 
82600 9 0 50 
82800 9 0 50 
83000 9 0 50 
83200 9 0 50 
83400 9 0 50 
83600 9 0 50 
83800 9 0 50 
84000 9 0 50 
84200 9 0 50 
84400 9 0 50 
84600 9 0 52 
84800 9 0 52 
85000 9 0 52 
85200 9 0 52 
85400 9 0 52 
85600 9 0 52 
85800 8 1 52 
86000 10 0 52 
86200 9 0 52 
86400 9 0 53 
86600 9 0 53 
86800 9 0 53 
87000 9 0 53 
87200 10 0 54 
87400 9 0 54 
87600 9 0 55 
87800 9 0 55 
88000 9 0 55 
88200 9 0 56 
88400 9 0 57 
88600 9 0 57 
88800 10 0 57 
89000 9 0 57 
89200 9 0 57 
89400 9 0 57 
89600 9 0 57 
89800 9 0 57 
90000 9 0 58 
90200 9 0 58 
90400 9 0 58 
90600 9 0 58 
90800 9 0 58 
91000 9 0 58 
91200 9 0 58 
91400 9 0 58 
91600 9 0 58 
91800 9 0 59 
92000 9 0 59 
92200 9 0 59 
92400 9 0 59 
92600 9 0 59 
92800 9 0 60 
93000 9 0 60 
93200 9 0 60 
93400 9 0 60 
93600 9 0 60 
93800 8 1 60 
94000 9 0 60 
94200 9 0 60 
94400 8 1 60 
94600 9 0 60 
94800 9 0 60 
95000 9 0 60 
95200 9 0 61 
95400 9 0 61 
95600 9 0 61 
95800 9 0 62 
96000 9 0 63 
96200 9 0 63 
96400 10 0 63 
96600 10 0 63 
96800 9 0 63 
97000 9 0 63 
97200 9 0 63 
97400 9 0 63 
97600 9 0 63 
97800 9 0 64 
98000 9 0 64 
98200 9 0 64 
98400 9 0 64 
98600 9 0 64 
98800 9 0 64 
99000 9 0 64 
99200 9 0 64 
99400 9 0 64 
99600 9 0 64 
99800 9 0 64 
100000 9 0 64 
100200 9 0 64 
100400 9 0 65 
